zeit,durchlauf,seed,score,zuege_pro_s,run_id,config
03:39:56,2,23,100.1,8331.8,dqn-20260725-032954,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""activation"": ""tanh""}"
03:49:58,2,23,113.25,7920.1,dqn-20260725-033956,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""prioritized"": true}"
03:59:59,2,23,123.9,9551.9,dqn-20260725-034958,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""learning_rate"": 0.0005}"
04:10:01,2,23,117.9,9741.5,dqn-20260725-040000,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""learning_rate"": 0.002}"
04:20:03,2,23,125.25,9718.8,dqn-20260725-041002,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.25}"
04:30:06,2,23,125.8,9596.3,dqn-20260725-042004,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.5}"
04:40:08,2,23,132.35,9438.9,dqn-20260725-043006,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7}"
04:50:10,2,23,48.75,9918.7,dqn-20260725-044008,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 1.0}"
05:00:11,2,23,128.5,10811.9,dqn-20260725-045010,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""batch_size"": 128}"
05:10:14,2,23,124.05,7865.0,dqn-20260725-050012,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""batch_size"": 512}"
05:20:16,2,23,124.15,9156.1,dqn-20260725-051014,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""balance_anteil"": 0.0}"
05:30:18,2,23,128.0,9399.1,dqn-20260725-052017,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""balance_anteil"": 0.5}"
05:40:20,2,23,134.05,10694.9,dqn-20260725-053019,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""hidden"": [128, 128]}"
05:50:21,2,23,131.45,8311.5,dqn-20260725-054021,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""hidden"": [256, 256]}"
06:00:23,2,23,134.6,6657.8,dqn-20260725-055022,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""hidden"": [512, 256]}"
06:10:25,2,23,124.9,12239.2,dqn-20260725-060024,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""train_every"": 2}"
